aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,gX_mean,gX_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.523775,0.043474,0.525577,0.423599,0.643936,0.000033,0.000669,0.527085,0.071866,0.531961,0.323364,0.711868,0.000090,0.000991,0.610631,0.084187,0.616407,0.309052,0.999939,0.000123,0.001132,0.497372,0.019504,0.497755,0.414551,0.544250,0.000007,0.000100,0.504630,0.016427,0.504897,0.461899,0.594391,0.000005,0.000064,0.491184,0.019222,0.491560,0.445297,0.531815,0.000006,0.000101
0.520404,0.081144,0.526692,0.304520,0.647781,0.000115,0.003767,0.618360,0.076654,0.623093,0.489548,0.794601,0.000102,0.002204,0.503127,0.184704,0.535959,0.173080,0.890884,0.000594,0.014241,0.498860,0.027620,0.499624,0.435120,0.555832,0.000013,0.000339,0.508211,0.052586,0.510924,0.439941,0.610596,0.000048,0.001043,0.506193,0.026721,0.506898,0.462189,0.566467,0.000012,0.000367
0.522403,0.086408,0.529500,0.329330,0.637802,0.000130,0.002995,0.602736,0.074002,0.607262,0.464935,0.757874,0.000095,0.002435,0.493513,0.180110,0.525352,0.226425,0.792999,0.000565,0.012278,0.506801,0.016185,0.507059,0.481979,0.540283,0.000005,0.000112,0.512265,0.048247,0.514532,0.439011,0.597794,0.000041,0.001147,0.507823,0.022632,0.508327,0.472382,0.572586,0.000009,0.000192
0.508965,0.072643,0.514123,0.362961,0.609619,0.000092,0.002158,0.609615,0.076860,0.614441,0.464996,0.745193,0.000103,0.002631,0.497151,0.176151,0.527435,0.232010,0.754364,0.000540,0.012180,0.504604,0.014123,0.504802,0.482956,0.542374,0.000003,0.000098,0.515003,0.050803,0.517502,0.443665,0.603348,0.000045,0.001844,0.507729,0.021865,0.508200,0.474228,0.553940,0.000008,0.000286
0.506911,0.084373,0.513885,0.324982,0.653198,0.000124,0.002480,0.605280,0.088679,0.611742,0.463745,0.773941,0.000137,0.004260,0.512100,0.163255,0.537493,0.216568,0.820129,0.000464,0.014266,0.504864,0.016195,0.505123,0.482803,0.552719,0.000005,0.000097,0.511423,0.053739,0.514239,0.430847,0.613205,0.000050,0.002002,0.505462,0.029218,0.506306,0.465973,0.568527,0.000015,0.000471
0.511581,0.083653,0.518376,0.291306,0.833527,0.000122,0.001726,0.594422,0.064790,0.597942,0.496262,0.779037,0.000073,0.001662,0.554610,0.171239,0.580444,0.000061,0.831696,0.000510,0.015246,0.498079,0.018510,0.498422,0.463745,0.555450,0.000006,0.000209,0.496477,0.051398,0.499130,0.375549,0.632935,0.000046,0.001185,0.493731,0.015186,0.493964,0.460419,0.525543,0.000004,0.000154
0.500545,0.080079,0.506910,0.259293,0.592072,0.000112,0.002307,0.610893,0.066416,0.614493,0.513290,0.785110,0.000077,0.001613,0.487859,0.187104,0.522508,0.192322,0.861282,0.000609,0.021624,0.502387,0.013509,0.502569,0.482605,0.546219,0.000003,0.000042,0.512448,0.052066,0.515086,0.445557,0.626831,0.000047,0.002204,0.503967,0.018592,0.504309,0.478500,0.558990,0.000006,0.000101
0.505202,0.071206,0.510195,0.298294,0.586899,0.000088,0.002157,0.595430,0.052906,0.597776,0.499039,0.740234,0.000049,0.001031,0.530327,0.152926,0.551936,0.195480,0.796127,0.000407,0.012522,0.502348,0.010016,0.502448,0.488174,0.536926,0.000002,0.000047,0.493896,0.052048,0.496631,0.433456,0.618576,0.000047,0.002159,0.497225,0.018255,0.497560,0.473541,0.553650,0.000006,0.000249
0.502693,0.082175,0.509365,0.261108,0.599503,0.000118,0.002704,0.588656,0.065720,0.592314,0.455414,0.819672,0.000075,0.001645,0.545693,0.151147,0.566239,0.177307,0.825974,0.000398,0.013468,0.499061,0.010472,0.499171,0.475296,0.539383,0.000002,0.000021,0.502930,0.047111,0.505131,0.447815,0.622101,0.000039,0.001767,0.501207,0.021687,0.501676,0.473831,0.584641,0.000008,0.000229
0.523544,0.069164,0.528093,0.293671,0.614471,0.000083,0.001271,0.597790,0.041360,0.599219,0.527344,0.731979,0.000030,0.000662,0.485896,0.165736,0.513384,0.183304,0.756912,0.000478,0.020848,0.502318,0.008606,0.502392,0.480270,0.528946,0.000001,0.000013,0.504942,0.047263,0.507149,0.448990,0.630386,0.000039,0.001894,0.504268,0.012734,0.504429,0.490158,0.548248,0.000003,0.000066
0.487409,0.094789,0.496541,0.220261,0.609406,0.000156,0.005809,0.590374,0.064584,0.593896,0.506912,0.829819,0.000073,0.001597,0.544672,0.146157,0.563941,0.162277,0.787964,0.000372,0.012812,0.501446,0.011821,0.501586,0.473801,0.538239,0.000002,0.000040,0.512107,0.057495,0.515324,0.444305,0.651962,0.000058,0.002918,0.505941,0.020972,0.506375,0.485565,0.577286,0.000008,0.000227
0.513472,0.085612,0.520560,0.236267,0.578369,0.000127,0.002627,0.596039,0.056563,0.598717,0.463669,0.797256,0.000056,0.001082,0.515145,0.157181,0.538591,0.179382,0.842499,0.000430,0.015080,0.501550,0.013559,0.501733,0.471268,0.541580,0.000003,0.000051,0.500831,0.049992,0.503320,0.444366,0.655518,0.000043,0.001697,0.500407,0.014518,0.500618,0.484344,0.559494,0.000004,0.000069
0.499137,0.094903,0.508079,0.224930,0.579895,0.000157,0.003968,0.585846,0.066353,0.589592,0.428558,0.805573,0.000077,0.001293,0.535183,0.152882,0.556591,0.160492,0.808319,0.000407,0.012077,0.498828,0.012466,0.498984,0.461426,0.533463,0.000003,0.000032,0.502943,0.055013,0.505942,0.453613,0.658997,0.000053,0.002120,0.501490,0.018801,0.501842,0.483002,0.574799,0.000006,0.000125
0.515661,0.067392,0.520046,0.338608,0.574310,0.000079,0.002691,0.585336,0.045993,0.587140,0.467667,0.733612,0.000037,0.000643,0.532783,0.155827,0.555103,0.221191,0.911972,0.000423,0.015028,0.503116,0.013096,0.503287,0.476410,0.549103,0.000003,0.000046,0.505477,0.051871,0.508132,0.439407,0.627579,0.000047,0.002354,0.504733,0.013275,0.504907,0.482895,0.549576,0.000003,0.000067
0.510766,0.056731,0.513907,0.332077,0.570862,0.000056,0.001776,0.581947,0.059872,0.585019,0.447189,0.709717,0.000062,0.002257,0.549696,0.135773,0.566216,0.259125,0.880981,0.000321,0.010554,0.500595,0.009381,0.500683,0.471664,0.521561,0.000002,0.000021,0.500796,0.042302,0.502579,0.453140,0.607025,0.000031,0.001481,0.501116,0.015660,0.501360,0.479065,0.544342,0.000004,0.000184
0.513349,0.088605,0.520940,0.161163,0.591034,0.000137,0.002793,0.594979,0.041961,0.596457,0.482162,0.729706,0.000031,0.000597,0.551453,0.167540,0.576341,0.163696,0.999939,0.000489,0.008276,0.500505,0.008070,0.500570,0.484940,0.528595,0.000001,0.000017,0.499228,0.042739,0.501054,0.462219,0.645447,0.000032,0.000973,0.499575,0.010823,0.499692,0.461319,0.536636,0.000002,0.000043
0.496866,0.105805,0.508007,0.187302,0.602066,0.000195,0.006596,0.584072,0.057188,0.586865,0.458557,0.726410,0.000057,0.001320,0.521080,0.175603,0.549873,0.104813,0.929504,0.000537,0.014879,0.500840,0.014144,0.501040,0.456802,0.545395,0.000003,0.000062,0.509703,0.063672,0.513665,0.435226,0.667175,0.000071,0.003072,0.503400,0.013002,0.503568,0.479156,0.552307,0.000003,0.000098
0.497192,0.088018,0.504923,0.240005,0.589966,0.000135,0.005258,0.588319,0.042962,0.589885,0.524994,0.716858,0.000032,0.000343,0.533177,0.159250,0.556452,0.128296,0.829910,0.000441,0.008287,0.501070,0.011495,0.501202,0.474304,0.537888,0.000002,0.000036,0.498528,0.056104,0.501675,0.441681,0.678436,0.000055,0.001502,0.495216,0.012053,0.495363,0.449982,0.515137,0.000003,0.000038
0.596978,0.046850,0.598813,0.366302,0.636154,0.000038,0.000704,0.537081,0.052573,0.539648,0.474518,0.715805,0.000048,0.001231,0.523182,0.078415,0.529026,0.443390,0.885941,0.000107,0.001973,0.497062,0.008331,0.497132,0.474991,0.518463,0.000001,0.000016,0.489527,0.020258,0.489946,0.428467,0.512238,0.000007,0.000294,0.497959,0.014564,0.498172,0.465179,0.530869,0.000004,0.000097
0.508337,0.094483,0.517043,0.208832,0.592667,0.000155,0.004164,0.600184,0.072601,0.604559,0.475998,0.786606,0.000092,0.002079,0.504864,0.185172,0.537751,0.134689,0.912079,0.000597,0.018912,0.501894,0.014048,0.502090,0.477890,0.541229,0.000003,0.000062,0.510040,0.059259,0.513471,0.449890,0.655121,0.000061,0.002795,0.503741,0.014534,0.503951,0.487457,0.546509,0.000004,0.000065
0.503402,0.096686,0.512603,0.200500,0.588715,0.000163,0.004166,0.586519,0.065309,0.590144,0.458649,0.803391,0.000074,0.001101,0.532653,0.153512,0.554333,0.162415,0.848694,0.000410,0.011767,0.499065,0.008147,0.499131,0.479843,0.515488,0.000001,0.000013,0.498496,0.049698,0.500967,0.459396,0.640823,0.000043,0.001521,0.503113,0.018510,0.503453,0.484726,0.574829,0.000006,0.000117
0.484038,0.099326,0.494124,0.169495,0.576828,0.000172,0.004728,0.591865,0.058024,0.594703,0.504532,0.802078,0.000059,0.001408,0.539675,0.165466,0.564472,0.103775,0.820862,0.000477,0.011559,0.500507,0.010315,0.500613,0.476181,0.528030,0.000002,0.000054,0.501465,0.055010,0.504474,0.460754,0.678131,0.000053,0.001864,0.499555,0.015390,0.499792,0.478821,0.559387,0.000004,0.000133
0.474720,0.125144,0.490938,0.094437,0.597244,0.000273,0.006325,0.613668,0.060543,0.616647,0.540146,0.779358,0.000064,0.001540,0.491153,0.201873,0.531021,0.000061,0.906509,0.000709,0.023784,0.503606,0.017417,0.503907,0.460022,0.560349,0.000005,0.000068,0.511183,0.070681,0.516046,0.445877,0.695221,0.000087,0.003948,0.500677,0.016191,0.500939,0.464493,0.550583,0.000005,0.000088
0.468675,0.112148,0.481907,0.120010,0.572937,0.000219,0.007724,0.593242,0.055061,0.595792,0.506104,0.804779,0.000053,0.001507,0.516286,0.174454,0.544964,0.078705,0.849731,0.000530,0.016262,0.504079,0.013782,0.504267,0.478989,0.560944,0.000003,0.000048,0.503958,0.068527,0.508596,0.453186,0.711517,0.000082,0.002960,0.500898,0.009414,0.500986,0.486511,0.535446,0.000002,0.000033
0.469334,0.120152,0.484470,0.134598,0.593903,0.000251,0.008173,0.580141,0.061566,0.583399,0.487350,0.782639,0.000066,0.001705,0.528840,0.168430,0.555014,0.077698,0.813080,0.000494,0.017496,0.499535,0.015860,0.499787,0.475845,0.543762,0.000004,0.000128,0.495355,0.072684,0.500659,0.419373,0.685898,0.000092,0.003876,0.496636,0.012497,0.496793,0.467926,0.521530,0.000003,0.000049
0.485286,0.110787,0.497771,0.169189,0.609009,0.000214,0.009072,0.586361,0.063537,0.589793,0.493881,0.812149,0.000070,0.001447,0.523454,0.161171,0.547704,0.114105,0.827103,0.000452,0.014437,0.503067,0.011721,0.503203,0.488205,0.540863,0.000002,0.000048,0.502343,0.065207,0.506557,0.444290,0.667755,0.000074,0.003217,0.503475,0.016073,0.503732,0.477646,0.552719,0.000004,0.000134
0.478193,0.135343,0.496977,0.116684,0.608215,0.000319,0.012806,0.573024,0.084768,0.579260,0.401886,0.884079,0.000125,0.002102,0.542683,0.163803,0.566865,0.132675,0.823608,0.000467,0.014252,0.497978,0.007773,0.498038,0.486420,0.518555,0.000001,0.000021,0.505037,0.064255,0.509108,0.446121,0.689804,0.000072,0.003153,0.503999,0.021083,0.504440,0.482391,0.571228,0.000008,0.000202
0.465384,0.110971,0.478432,0.091309,0.576187,0.000214,0.006774,0.584141,0.066917,0.587961,0.465408,0.740295,0.000078,0.001829,0.512206,0.171192,0.540057,0.192032,0.869293,0.000510,0.020690,0.498895,0.007368,0.498949,0.486832,0.526352,0.000001,0.000018,0.507358,0.074802,0.512843,0.397690,0.693634,0.000097,0.005017,0.504483,0.019566,0.504863,0.474869,0.564026,0.000007,0.000162
0.482807,0.078257,0.489108,0.282288,0.557922,0.000107,0.004522,0.579246,0.067486,0.583164,0.435944,0.763535,0.000079,0.001893,0.533952,0.136903,0.551223,0.242203,0.743637,0.000326,0.013519,0.501961,0.010204,0.502064,0.480209,0.524872,0.000002,0.000045,0.497957,0.058919,0.501431,0.432907,0.651306,0.000060,0.003053,0.500098,0.015757,0.500346,0.478699,0.543823,0.000004,0.000165
0.501291,0.064213,0.505386,0.335236,0.590393,0.000072,0.003123,0.593703,0.054462,0.596195,0.501572,0.797470,0.000052,0.001178,0.533550,0.148245,0.553762,0.234055,0.809433,0.000383,0.016100,0.496890,0.015728,0.497139,0.461975,0.534531,0.000004,0.000157,0.493389,0.046890,0.495612,0.430374,0.602722,0.000038,0.002141,0.495062,0.014158,0.495264,0.464325,0.518143,0.000003,0.000139
0.452783,0.101063,0.463924,0.161331,0.547089,0.000178,0.004191,0.615428,0.049015,0.617376,0.544571,0.773972,0.000042,0.001188,0.518329,0.187603,0.551234,0.089035,0.874420,0.000613,0.023837,0.501845,0.009710,0.501939,0.483490,0.528519,0.000002,0.000051,0.498580,0.058625,0.502015,0.443726,0.645477,0.000060,0.002882,0.496495,0.013058,0.496666,0.472443,0.527344,0.000003,0.000146
0.456022,0.055980,0.459445,0.269699,0.534668,0.000055,0.001347,0.541317,0.128712,0.556409,0.201599,0.773575,0.000288,0.015993,0.564164,0.135388,0.580182,0.224640,0.737366,0.000319,0.010605,0.513314,0.015197,0.513539,0.473694,0.553543,0.000004,0.000109,0.510810,0.047749,0.513037,0.446686,0.633270,0.000040,0.001639,0.494782,0.028833,0.495621,0.450165,0.550858,0.000014,0.000831
0.467243,0.079577,0.473971,0.190948,0.546585,0.000110,0.002094,0.529947,0.156534,0.552582,0.160629,0.794434,0.000427,0.015899,0.601282,0.042885,0.602809,0.514175,0.664047,0.000032,0.000996,0.499279,0.009866,0.499377,0.472687,0.515976,0.000002,0.000088,0.502942,0.015716,0.503187,0.479004,0.548126,0.000004,0.000128,0.507429,0.039383,0.508955,0.467667,0.605667,0.000027,0.001361
0.467082,0.088248,0.475345,0.128494,0.563873,0.000135,0.002427,0.515851,0.134864,0.533189,0.158890,0.757492,0.000316,0.010055,0.605089,0.051666,0.607291,0.481384,0.700531,0.000046,0.001386,0.501799,0.012012,0.501943,0.467117,0.520660,0.000003,0.000128,0.499972,0.018339,0.500309,0.479904,0.563416,0.000006,0.000142,0.497015,0.035549,0.498285,0.464233,0.607910,0.000022,0.000918
0.472459,0.087169,0.480433,0.153931,0.573837,0.000132,0.002465,0.503997,0.143528,0.524036,0.253311,0.794724,0.000359,0.013522,0.603789,0.045598,0.605509,0.474701,0.675674,0.000036,0.000963,0.498812,0.009700,0.498906,0.463440,0.514984,0.000002,0.000058,0.503226,0.019846,0.503617,0.476288,0.559814,0.000007,0.000178,0.502559,0.037198,0.503934,0.464905,0.610306,0.000024,0.001092
0.467578,0.089160,0.476003,0.181244,0.544785,0.000138,0.003154,0.538476,0.158838,0.561414,0.236664,0.844055,0.000439,0.017110,0.602117,0.075042,0.606775,0.416168,0.844589,0.000098,0.001803,0.499341,0.007963,0.499404,0.477356,0.515823,0.000001,0.000032,0.506626,0.026225,0.507305,0.475754,0.580444,0.000012,0.000397,0.510988,0.050378,0.513465,0.451904,0.622009,0.000044,0.002365
0.460936,0.074035,0.466844,0.216202,0.535980,0.000095,0.002860,0.526208,0.133997,0.543001,0.310562,0.759537,0.000313,0.015945,0.596060,0.100507,0.604474,0.395172,0.846161,0.000176,0.006493,0.498034,0.016135,0.498295,0.459869,0.522430,0.000005,0.000139,0.506005,0.039254,0.507525,0.462463,0.596176,0.000027,0.001124,0.503451,0.036848,0.504798,0.458145,0.591949,0.000024,0.001208
0.481004,0.077983,0.487284,0.188736,0.556580,0.000106,0.002658,0.547822,0.161833,0.571226,0.163361,0.821625,0.000455,0.014872,0.570838,0.081844,0.576675,0.351044,0.693497,0.000116,0.004212,0.503002,0.012963,0.503169,0.469101,0.526718,0.000003,0.000059,0.496378,0.030751,0.497329,0.461761,0.615051,0.000016,0.000623,0.502492,0.040453,0.504118,0.455231,0.610535,0.000028,0.001439
0.479606,0.075047,0.485442,0.175720,0.564117,0.000098,0.001345,0.511928,0.142982,0.531521,0.118790,0.837646,0.000356,0.007754,0.610062,0.048283,0.611970,0.494888,0.727280,0.000041,0.000909,0.499744,0.007712,0.499804,0.478241,0.513306,0.000001,0.000026,0.500768,0.016074,0.501026,0.475769,0.553452,0.000004,0.000129,0.500710,0.033489,0.501829,0.468491,0.612640,0.000020,0.000825
0.534496,0.053201,0.537137,0.319656,0.639206,0.000049,0.000680,0.571399,0.067379,0.575358,0.494263,0.784607,0.000079,0.002187,0.577435,0.078706,0.582774,0.317001,0.701660,0.000108,0.003430,0.496756,0.007330,0.496810,0.480774,0.512131,0.000001,0.000013,0.502456,0.034603,0.503646,0.456512,0.601318,0.000021,0.000616,0.494800,0.019793,0.495196,0.466904,0.555435,0.000007,0.000195
0.501956,0.039555,0.503512,0.406052,0.612198,0.000027,0.001083,0.514239,0.022712,0.514741,0.446426,0.565704,0.000009,0.000165,0.613241,0.042633,0.614721,0.511017,0.920334,0.000031,0.000512,0.501210,0.006808,0.501257,0.485855,0.520798,0.000001,0.000009,0.490736,0.012965,0.490907,0.456482,0.510330,0.000003,0.000091,0.509755,0.008441,0.509825,0.494568,0.530945,0.000001,0.000032
