Time,Sample,FFT,PSD
405.025389,570.000,391312.000,299072.406250
405.025495,587.000,867.119,1.468547
405.025532,603.000,1045.992,2.136911
405.025570,627.000,713.479,0.994242
405.025608,643.000,976.088,1.860836
405.025645,651.000,1363.841,3.632936
405.025683,682.000,1652.270,5.332023
405.025720,691.000,1916.887,7.176672
405.025758,716.000,2583.351,13.034576
405.025795,727.000,3917.098,29.968082
405.025833,743.000,5919.086,68.428879
405.025870,761.000,13328.006,346.944824
405.025908,761.000,159790.922,49869.410156
405.025946,741.000,12010.149,281.725983
405.025983,727.000,6172.162,74.405441
405.026021,709.000,4650.735,42.244804
405.026058,689.000,3170.137,19.628460
405.026096,676.000,2528.614,12.488062
405.026133,644.000,2593.488,13.137069
405.026199,633.000,1802.316,6.344418
405.026237,610.000,1908.621,7.114912
405.026274,590.000,1173.774,2.690910
405.026312,571.000,1512.040,4.465364
405.026349,554.000,1297.602,3.288615
405.026387,536.000,1200.250,2.813670
405.026424,520.000,1337.068,3.491703
405.026478,496.000,1239.900,3.002640
405.026516,479.000,940.841,1.728871
405.026554,460.000,2027.587,8.029513
405.026591,444.000,1174.840,2.695801
405.026629,428.000,1482.475,4.292447
405.026666,412.000,1253.908,3.070870
405.026704,393.000,1457.605,4.149636
405.026742,374.000,1709.938,5.710716
405.026779,360.000,2114.708,8.734358
405.026817,339.000,5069.622,50.197399
405.026854,318.000,16205.865,512.949341
405.026892,302.000,3123.399,19.053953
405.026929,284.000,1504.669,4.421931
405.026967,273.000,1058.708,2.189186
405.027004,253.000,1080.705,2.281100
405.027042,240.000,898.000,1.575008
405.027080,216.000,728.280,1.035920
405.027117,186.000,768.851,1.154554
405.027183,170.000,608.232,0.722551
405.027220,151.000,541.624,0.572962
405.027257,136.000,739.432,1.067889
405.027295,116.000,521.572,0.531323
405.027332,102.000,697.340,0.949771
405.027370,86.000,573.082,0.641451
405.027407,70.000,586.781,0.672484
405.027445,50.000,623.371,0.758967
405.027494,25.000,1193.661,2.782864
405.027532,9.000,822.878,1.322517
405.027569,0.000,723.238,1.021628
405.027606,15.000,697.216,0.949433
405.027644,34.000,693.076,0.938192
405.027681,54.000,1017.827,2.023382
405.027719,71.000,1365.523,3.641901
405.027757,85.000,3310.176,21.400908
405.027794,101.000,4651.362,42.256195
405.027832,115.000,1212.750,2.872581
405.027869,136.000,540.405,0.570385
405.027907,152.000,512.451,0.512903
405.027944,171.000,323.968,0.204990
405.027982,190.000,147.012,0.042212
405.028020,211.000,280.801,0.154003
405.028057,225.000,245.999,0.118195
405.028095,241.000,341.728,0.228082
405.028132,271.000,141.418,0.039061
405.028198,288.000,215.181,0.090436
405.028235,303.000,270.055,0.142440
405.028272,323.000,208.501,0.084907
405.028310,336.000,78.124,0.011921
405.028347,358.000,135.466,0.035842
405.028385,373.000,223.063,0.097182
405.028422,395.000,327.924,0.210028
405.028460,420.000,375.225,0.274988
405.028514,436.000,33.432,0.002183
405.028552,452.000,48.854,0.004661
405.028589,471.000,159.225,0.049517
405.028627,490.000,301.215,0.177208
405.028665,505.000,385.475,0.290217
405.028702,542.000,1989.615,7.731574
405.028740,538.000,2112.289,8.714387
405.028777,554.000,748.730,1.094915
405.028815,574.000,884.731,1.528808
405.028852,593.000,513.862,0.515731
405.028890,611.000,567.068,0.628058
405.028928,629.000,349.547,0.238639
405.028965,647.000,477.896,0.446064
405.029003,662.000,793.061,1.228411
405.029040,673.000,152.399,0.045362
405.029078,696.000,203.453,0.080846
405.029115,710.000,372.150,0.270499
405.029180,743.000,92.391,0.016672
405.029218,760.000,251.010,0.123059
405.029256,763.000,397.061,0.307925
405.029293,749.000,284.962,0.158600
405.029331,735.000,378.828,0.280295
405.029368,714.000,291.925,0.166445
405.029406,694.000,202.237,0.079882
405.029443,677.000,280.266,0.153416
405.029498,650.000,232.788,0.105840
405.029536,638.000,373.369,0.272274
405.029573,621.000,433.244,0.366602
405.029611,597.000,660.274,0.851487
405.029648,582.000,1843.954,6.640953
405.029686,560.000,880.936,1.515718
405.029723,548.000,247.923,0.120051
405.029761,534.000,246.489,0.118666
405.029799,515.000,380.492,0.282762
405.029836,496.000,153.533,0.046040
405.029874,479.000,162.853,0.051799
405.029911,460.000,228.812,0.102255
405.029949,443.000,240.587,0.113051
405.029986,425.000,208.700,0.085069
405.030024,393.000,150.731,0.044375
405.030062,391.000,11.116,0.000241
405.030099,376.000,225.418,0.099244
405.030137,362.000,190.973,0.071232
405.030201,330.000,215.132,0.090394
405.030239,307.000,297.099,0.172398
405.030276,291.000,126.729,0.031367
405.030314,275.000,151.003,0.044535
405.030351,256.000,276.124,0.148915
405.030389,237.000,152.217,0.045254
405.030426,221.000,287.045,0.160927
405.030464,209.000,250.059,0.122128
405.030512,180.000,455.466,0.405174
405.030550,164.000,299.120,0.174752
405.030587,148.000,1582.507,4.891269
405.030625,130.000,193.346,0.073013
405.030663,112.000,202.913,0.080418
405.030700,92.000,10.738,0.000225
405.030738,79.000,178.147,0.061985
405.030775,69.000,102.940,0.020697
405.030813,49.000,292.797,0.167442
405.030850,29.000,135.083,0.035640
405.030888,10.000,211.711,0.087542
405.030925,0.000,186.117,0.067655
405.030962,16.000,109.061,0.023231
405.031000,30.000,236.624,0.109357
405.031038,51.000,286.419,0.160226
405.031075,67.000,157.235,0.048287
405.031113,89.000,309.383,0.186949
405.031150,107.000,167.818,0.055006
405.031214,134.000,577.444,0.651253
405.031252,145.000,235.081,0.107936
405.031289,165.000,144.007,0.040504
405.031327,183.000,268.922,0.141248
405.031364,200.000,218.995,0.093669
405.031402,207.000,108.750,0.023099
405.031439,243.000,93.028,0.016903
405.031477,261.000,188.190,0.069171
405.031531,275.000,770.836,1.160524
405.031569,295.000,151.410,0.044776
405.031607,316.000,129.341,0.032674
405.031644,334.000,146.535,0.041938
405.031682,383.000,139.833,0.038190
405.031719,369.000,258.615,0.130628
405.031757,383.000,140.778,0.038708
405.031795,400.000,329.207,0.211674
405.031832,415.000,310.074,0.187785
405.031870,439.000,149.374,0.043579
405.031907,457.000,230.598,0.103858
405.031945,474.000,183.287,0.065614
405.031982,494.000,112.565,0.024748
405.032020,507.000,273.487,0.146084
405.032057,522.000,106.075,0.021976
405.032095,537.000,191.921,0.071941
405.032133,558.000,497.835,0.484062
405.032197,586.000,14.579,0.000415
405.032235,604.000,299.354,0.175025
405.032272,624.000,127.999,0.031999
405.032310,636.000,209.047,0.085353
405.032347,657.000,136.924,0.036618
405.032385,675.000,83.337,0.013565
405.032422,694.000,189.954,0.070473
405.032460,710.000,743.791,1.080517
405.032497,737.000,250.351,0.122414
405.032552,751.000,38.450,0.002888
405.032589,768.000,239.441,0.111976
405.032627,755.000,152.282,0.045293
405.032665,736.000,90.076,0.015847
405.032702,714.000,103.506,0.020925
405.032740,704.000,164.895,0.053106
405.032777,685.000,179.266,0.062766
405.032815,666.000,312.703,0.190982
405.032852,657.000,120.009,0.028129
405.032890,638.000,127.064,0.031534
405.032928,614.000,134.345,0.035251
405.032965,610.000,146.365,0.041841
405.033003,579.000,69.330,0.009388
405.033040,563.000,177.239,0.061355
405.033078,548.000,302.052,0.178194
405.033115,530.000,146.568,0.041957
405.033153,515.000,193.747,0.073316
405.033211,480.000,142.464,0.039641
405.033248,462.000,222.938,0.097073
405.033286,451.000,87.713,0.015026
405.033323,436.000,45.367,0.004020
405.033361,419.000,247.697,0.119831
405.033398,403.000,569.529,0.633521
405.033436,380.000,157.008,0.048147
405.033473,360.000,196.146,0.075143
405.033528,341.000,106.957,0.022343
405.033565,328.000,85.349,0.014228
405.033603,297.000,287.751,0.161720
405.033641,285.000,211.346,0.087240
405.033678,269.000,126.285,0.031148
405.033716,245.000,76.738,0.011501
405.033753,232.000,78.911,0.012162
405.033791,219.000,281.664,0.154950
405.033828,205.000,208.186,0.084652
405.033866,185.000,230.048,0.103363
405.033904,164.000,266.987,0.139223
405.033941,148.000,116.254,0.026396
405.033979,132.000,228.663,0.102122
405.034016,112.000,184.964,0.066820
405.034054,96.000,135.920,0.036082
405.034091,81.000,221.570,0.095885
405.034129,61.000,78.843,0.012141
405.034166,48.000,76.428,0.011409
405.034224,13.000,222.163,0.096399
405.034262,0.000,325.926,0.207476
405.034298,9.000,593.323,0.687562
405.034336,28.000,353.980,0.244730
405.034373,42.000,140.095,0.038333
405.034411,54.000,58.556,0.006697
405.034448,78.000,144.652,0.040868
405.034486,91.000,152.539,0.045446
405.034537,116.000,117.214,0.026834
405.034575,131.000,115.492,0.026051
405.034613,151.000,65.872,0.008475
405.034650,172.000,76.305,0.011372
405.034688,188.000,79.187,0.012247
405.034725,206.000,60.166,0.007070
405.034763,221.000,99.313,0.019264
405.034800,235.000,190.737,0.071056
405.034838,259.000,113.685,0.025243
405.034876,271.000,303.913,0.180396
405.034913,294.000,126.849,0.031427
405.034951,309.000,50.168,0.004916
405.034988,330.000,150.661,0.044334
405.035026,345.000,71.117,0.009878
405.035063,361.000,70.977,0.009839
405.035101,378.000,295.508,0.170556
405.035138,392.000,119.181,0.027743
405.035176,412.000,134.239,0.035196
405.035237,441.000,142.924,0.039897
405.035275,461.000,82.688,0.013354
405.035312,478.000,120.592,0.028403
405.035350,494.000,86.653,0.014665
405.035387,512.000,41.111,0.003301
405.035425,527.000,76.808,0.011523
405.035462,545.000,87.458,0.014939
405.035500,564.000,154.453,0.046593
405.035544,582.000,212.777,0.088426
405.035581,601.000,222.891,0.097032
405.035619,618.000,59.811,0.006987
405.035656,640.000,133.900,0.035018
405.035694,650.000,142.370,0.039589
405.035731,670.000,105.345,0.021675
405.035769,692.000,132.282,0.034177
405.035807,708.000,119.254,0.027776
405.035844,723.000,225.477,0.099297
405.035882,738.000,169.621,0.056194
405.035919,748.000,11.543,0.000260
405.035957,766.000,79.572,0.012367
405.035994,748.000,243.135,0.115458
405.036032,729.000,38.509,0.002896
405.036070,712.000,193.728,0.073302
405.036107,695.000,146.228,0.041763
405.036145,680.000,65.325,0.008335
405.036209,651.000,184.864,0.066747
405.036248,632.000,101.694,0.020199
405.036285,618.000,56.066,0.006139
405.036323,597.000,146.734,0.042052
405.036360,581.000,13.519,0.000357
405.036397,562.000,115.743,0.026165
405.036435,543.000,211.562,0.087419
405.036472,526.000,111.059,0.024090
405.036510,501.000,187.843,0.068916
405.036564,488.000,29.896,0.001746
405.036602,473.000,125.356,0.030692
405.036639,460.000,58.003,0.006571
405.036677,436.000,83.315,0.013557
405.036714,416.000,42.097,0.003461
405.036752,394.000,126.730,0.031368
405.036790,379.000,147.887,0.042716
405.036827,364.000,69.787,0.009512
405.036865,345.000,138.536,0.037485
405.036902,328.000,121.087,0.028637
405.036940,310.000,15.108,0.000446
405.036977,300.000,225.910,0.099678
405.037015,280.000,181.369,0.064247
405.037053,263.000,91.892,0.016492
405.037090,244.000,419.249,0.343300
405.037128,220.000,20.977,0.000859
405.037165,205.000,126.352,0.031181
405.037231,173.000,133.609,0.034866
405.037268,157.000,26.604,0.001382
405.037306,138.000,182.287,0.064900
405.037343,122.000,110.983,0.024057
405.037381,108.000,152.924,0.045675
405.037418,94.000,91.802,0.016460
405.037456,78.000,207.621,0.084192
405.037493,57.000,143.470,0.040202
405.037548,32.000,49.899,0.004863
405.037586,15.000,145.021,0.041077
405.037623,0.000,107.922,0.022748
405.037660,8.000,61.620,0.007416
405.037698,28.000,153.173,0.045824
405.037735,43.000,39.437,0.003038
405.037773,60.000,110.261,0.023745
405.037811,81.000,175.836,0.060387
405.037848,101.000,116.648,0.026576
405.037886,117.000,45.728,0.004084
405.037923,134.000,129.498,0.032753
405.037961,153.000,103.462,0.020907
405.037998,166.000,198.038,0.076600
405.038036,181.000,74.625,0.010877
405.038073,202.000,164.591,0.052910
405.038111,216.000,151.358,0.044744
405.038149,237.000,76.385,0.011396
405.038186,252.000,107.411,0.022534
405.038246,286.000,101.091,0.019960
405.038283,299.000,135.676,0.035953
405.038321,316.000,125.494,0.030759
405.038358,334.000,82.124,0.013173
405.038396,350.000,158.374,0.048989
405.038433,366.000,70.931,0.009827
405.038471,385.000,154.540,0.046646
405.038508,408.000,182.046,0.064728
405.038561,424.000,194.365,0.073784
405.038599,445.000,332.603,0.216064
405.038636,466.000,127.985,0.031992
405.038674,479.000,59.609,0.006940
405.038712,497.000,107.946,0.022758
405.038749,513.000,152.574,0.045467
405.038787,534.000,197.046,0.075834
405.038824,547.000,104.918,0.021500
405.038862,564.000,200.515,0.078528
405.038899,586.000,212.894,0.088523
405.038937,607.000,51.102,0.005100
405.038974,620.000,40.575,0.003216
405.039012,638.000,194.901,0.074192
405.039050,655.000,162.331,0.051467
405.039087,678.000,162.459,0.051549
405.039125,690.000,67.724,0.008958
405.039162,706.000,133.408,0.034761
405.039200,722.000,155.955,0.047504
405.039259,753.000,57.048,0.006356
405.039296,771.000,211.620,0.087467
405.039334,755.000,181.195,0.064124
405.039371,737.000,93.996,0.017256
405.039409,719.000,72.200,0.010181
405.039446,704.000,115.688,0.026140
405.039484,683.000,96.765,0.018288
405.039521,672.000,86.575,0.014639
405.039567,644.000,116.546,0.026529
405.039605,630.000,206.852,0.083570
405.039642,611.000,185.072,0.066898
405.039680,592.000,103.703,0.021004
405.039717,581.000,82.156,0.013183
405.039755,562.000,35.542,0.002467
405.039792,542.000,179.204,0.062723
405.039830,524.000,52.630,0.005410
405.039867,510.000,87.036,0.014796
405.039905,491.000,110.594,0.023889
405.039943,470.000,187.471,0.068644
405.039980,454.000,250.337,0.122400
405.040018,437.000,90.257,0.015911
405.040055,419.000,301.121,0.177097
405.040093,409.000,228.898,0.102332
405.040130,387.000,198.679,0.077096
405.040168,372.000,33.688,0.002216
405.040233,341.000,22.393,0.000979
405.040271,323.000,49.506,0.004787
405.040308,304.000,161.477,0.050927
405.040346,289.000,137.740,0.037055
405.040383,267.000,131.959,0.034010
405.040421,250.000,76.808,0.011522
405.040458,233.000,125.202,0.030616
405.040496,218.000,266.515,0.138731
405.040533,192.000,150.659,0.044333
405.040588,175.000,95.553,0.017833
405.040626,160.000,8.164,0.000130
405.040663,141.000,18.264,0.000651
405.040701,131.000,58.762,0.006744
405.040738,108.000,14.902,0.000434
405.040776,87.000,102.889,0.020676
405.040813,68.000,165.577,0.053546
405.040851,51.000,144.536,0.040802
405.040888,34.000,97.320,0.018498
405.040926,18.000,110.104,0.023678
405.040964,0.000,118.684,0.027512
405.041001,8.000,240.092,0.112587
405.041038,26.000,107.119,0.022411
405.041076,40.000,305.326,0.182078
405.041113,58.000,122.402,0.029262
405.041151,75.000,237.758,0.110408
405.041188,89.000,34.073,0.002268
405.041254,121.000,142.921,0.039895
405.041291,138.000,130.716,0.033373
405.041329,156.000,160.154,0.050096
405.041366,172.000,109.659,0.023486
405.041404,194.000,85.795,0.014376
405.041441,210.000,125.651,0.030836
405.041479,230.000,67.374,0.008866
405.041516,247.000,144.836,0.040972
405.041571,272.000,135.994,0.036122
405.041608,289.000,53.668,0.005625
405.041646,306.000,62.323,0.007586
405.041684,322.000,132.995,0.034546
405.041721,337.000,65.436,0.008363
405.041759,354.000,192.721,0.072542
405.041796,376.000,211.664,0.087503
405.041834,390.000,20.356,0.000809
405.041871,409.000,186.524,0.067952
405.041909,426.000,87.796,0.015055
405.041947,445.000,106.717,0.022243
405.041984,462.000,258.922,0.130939
405.042022,479.000,101.604,0.020163
405.042059,494.000,68.300,0.009111
405.042097,507.000,180.084,0.063341
405.042134,527.000,134.128,0.035137
405.042172,546.000,48.122,0.004523
405.042209,560.000,80.701,0.012720
405.042266,590.000,42.777,0.003574
405.042304,610.000,102.686,0.020594
405.042341,627.000,144.690,0.040889
405.042379,643.000,119.950,0.028101
405.042416,656.000,124.912,0.030474
405.042454,676.000,84.733,0.014023
405.042491,697.000,90.167,0.015879
405.042529,714.000,49.966,0.004876
405.042583,739.000,50.055,0.004894
405.042621,760.000,177.650,0.061640
405.042659,769.000,240.462,0.112933
405.042696,751.000,115.295,0.025963
405.042734,733.000,137.865,0.037122
405.042771,712.000,170.965,0.057088
405.042809,697.000,86.282,0.014540
405.042846,682.000,298.429,0.173945
405.042884,664.000,176.084,0.060558
