aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.499990,0.000107,0.499990,0.498779,0.500000,0.000000,0.000000,0.500010,0.000109,0.500010,0.500000,0.501236,0.000000,0.000000,0.500952,0.010723,0.501066,0.500000,0.621796,0.000000,0.000000,0.500002,0.000027,0.500002,0.500000,0.500305,0.000000,0.000000,0.500005,0.000062,0.500005,0.500000,0.500702,0.000000,0.000000,0.500004,0.000050,0.500004,0.500000,0.500565,0.000000,0.000000
0.499924,0.000076,0.499924,0.499847,0.500000,0.000000,0.000000,0.500076,0.000077,0.500077,0.500000,0.500154,0.000000,0.000000,0.507612,0.007612,0.507670,0.500000,0.515224,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500005,0.000008,0.500005,0.500000,0.500019,0.000000,0.000000,0.499995,0.000008,0.499995,0.499981,0.500000,0.000000,0.000000,0.499524,0.000824,0.499525,0.498097,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000007,0.499999,0.499924,0.500000,0.000000,0.000000,0.500001,0.000007,0.500001,0.500000,0.500077,0.000000,0.000000,0.500059,0.000670,0.500060,0.500000,0.507612,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499990,0.500010,0.000000,0.000000,0.500000,0.000007,0.500000,0.499990,0.500010,0.000000,0.000000,0.500000,0.000673,0.500000,0.499048,0.500952,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000007,0.500000,0.499924,0.500001,0.000000,0.000000,0.500001,0.000007,0.500000,0.499999,0.500077,0.000000,0.000000,0.500030,0.000675,0.500030,0.499881,0.507612,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499986,0.500010,0.000000,0.000000,0.500000,0.000007,0.500000,0.499990,0.500014,0.000000,0.000000,0.500004,0.000679,0.500004,0.499048,0.501428,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000007,0.500000,0.499923,0.500002,0.000000,0.000000,0.500001,0.000007,0.500000,0.499998,0.500077,0.000000,0.000000,0.500030,0.000684,0.500030,0.499822,0.507672,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499981,0.500010,0.000000,0.000000,0.500000,0.000007,0.500000,0.499990,0.500020,0.000000,0.000000,0.500006,0.000691,0.500006,0.499041,0.501904,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.499999,0.499923,0.500002,0.000000,0.000000,0.500000,0.000007,0.500001,0.499998,0.500079,0.000000,0.000000,0.500030,0.000698,0.500030,0.499762,0.507761,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499976,0.500010,0.000000,0.000000,0.500000,0.000007,0.500000,0.499990,0.500024,0.000000,0.000000,0.500007,0.000708,0.500008,0.499030,0.502383,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499921,0.500003,0.000000,0.000000,0.500000,0.000007,0.500000,0.499997,0.500079,0.000000,0.000000,0.500031,0.000717,0.500031,0.499702,0.507880,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499971,0.500010,0.000000,0.000000,0.500000,0.000007,0.500000,0.499990,0.500029,0.000000,0.000000,0.500009,0.000729,0.500010,0.499015,0.502868,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000007,0.500000,0.499920,0.500004,0.000000,0.000000,0.500001,0.000007,0.500000,0.499996,0.500081,0.000000,0.000000,0.500030,0.000741,0.500031,0.499641,0.508029,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000007,0.500000,0.499967,0.500010,0.000000,0.000000,0.500000,0.000008,0.500000,0.499990,0.500034,0.000000,0.000000,0.500011,0.000755,0.500012,0.498996,0.503361,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000008,0.499999,0.499918,0.500004,0.000000,0.000000,0.500001,0.000008,0.500001,0.499996,0.500082,0.000000,0.000000,0.500031,0.000769,0.500032,0.499580,0.508209,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000008,0.500000,0.499962,0.500010,0.000000,0.000000,0.500000,0.000008,0.500000,0.499990,0.500039,0.000000,0.000000,0.500013,0.000785,0.500014,0.498974,0.503862,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000008,0.499999,0.499916,0.500005,0.000000,0.000000,0.500001,0.000008,0.500000,0.499995,0.500084,0.000000,0.000000,0.500032,0.000801,0.500033,0.499517,0.508419,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000008,0.500000,0.499957,0.500010,0.000000,0.000000,0.500000,0.000008,0.500000,0.499989,0.500044,0.000000,0.000000,0.500015,0.000820,0.500016,0.498948,0.504375,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.499999,0.000008,0.500000,0.499914,0.500005,0.000000,0.000000,0.500001,0.000008,0.500000,0.499994,0.500086,0.000000,0.000000,0.500033,0.000838,0.500033,0.499453,0.508660,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000009,0.500000,0.499951,0.500011,0.000000,0.000000,0.500000,0.000009,0.500000,0.499989,0.500050,0.000000,0.000000,0.500017,0.000859,0.500018,0.498917,0.504902,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000009,0.499999,0.499911,0.500006,0.000000,0.000000,0.500000,0.000009,0.500001,0.499994,0.500089,0.000000,0.000000,0.500034,0.000879,0.500035,0.499387,0.508934,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000009,0.500000,0.499946,0.500011,0.000000,0.000000,0.500000,0.000009,0.500000,0.499989,0.500055,0.000000,0.000000,0.500019,0.000902,0.500020,0.498883,0.505443,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000009,0.500000,0.499908,0.500007,0.000000,0.000000,0.500000,0.000009,0.500000,0.499993,0.500092,0.000000,0.000000,0.500035,0.000924,0.500036,0.499320,0.509240,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
0.500000,0.000009,0.500000,0.499941,0.500011,0.000000,0.000000,0.500000,0.000010,0.500000,0.499988,0.500061,0.000000,0.000000,0.500021,0.000949,0.500022,0.498845,0.506001,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000
